@attribute coord_x spatial
@attribute coord_y spatial
@attribute value numeric
@attribute parametro numeric
@attribute vento numeric
@attribute popolazione numeric
@attribute categoria discrete {1,2,3}
@data
1,1,11,20,40,20000,2
1,2,12,20,38,100,3
1,3,13,20,38,45,1
1,4,14,30,38,780,2
1,5,15,30,38,1555,1
1,6,16,40,38,10000,2
1,7,17,30,38,1,1
2,1,21,20,38,10000,3
2,2,22,20,38,10000,3
2,3,23,20,38,10000,2
2,4,24,20,38,10000,1
2,5,25,30,38,10000,2
2,6,26,40,38,10000,1
2,7,27,30,38,10000,2
3,1,31,30,12,70000,3
3,2,32,30,29,8000,3
3,3,33,30,29,80000,1
3,4,34,30,29,65000,1
3,5,35,30,29,65000,1
3,6,36,30,29,65000,1
3,7,37,30,29,65000,1
4,1,41,50,12,70000,3
4,2,42,20,29,65000,3
4,3,43,30,29,65000,1
4,4,44,30,29,65000,1
4,5,45,30,29,65000,1
4,6,46,30,29,65000,1
4,7,47,30,29,65000,1
5,1,51,30,12,70000,3
5,2,52,30,29,65000,3
5,3,53,30,29,65000,1
5,4,54,30,29,65000,1
5,5,55,30,29,65000,1
5,6,56,30,29,65000,1
5,7,57,30,29,65000,1
6,1,61,30,12,70000,3
6,2,62,30,29,65000,3
6,3,63,30,29,65000,1
6,4,64,30,29,65000,1
6,5,65,30,29,65000,1
6,6,66,30,29,65000,1
6,7,67,30,29,65000,1
