@attribute coord_x spatial
@attribute coord_y spatial
@attribute value numeric
@attribute parametro numeric
@attribute vento numeric
@attribute popolazione numeric
@attribute categoria discrete {1,2,3}
@data
1,1,11,50,40,20000,2
1,2,12,100,38,100,3
1,3,13,100,38,45,1
1,4,14,30,38,780,2
1,5,15,30,38,1555,1
1,6,16,40,38,10000,2
1,7,17,30,38,1,1
2,1,21,100,38,10000,3
2,2,22,100,38,10000,3
2,3,23,100,38,10000,2
2,4,24,20,38,10000,1
2,5,25,30,38,10000,2
2,6,26,40,38,10000,1
2,7,27,30,38,10000,2
3,1,31,100,12,70000,3
3,2,32,100,29,8000,3
3,3,33,100,29,80000,1
3,4,34,30,29,65000,1
3,5,35,30,29,65000,1
3,6,36,30,29,65000,1
3,7,37,30,29,65000,1
4,1,41,50,12,70000,3
4,2,42,60,29,65000,3
4,3,43,80,29,65000,1
4,4,44,30,29,65000,1
4,5,45,10,29,65000,1
4,6,46,10,29,65000,1
4,7,47,10,29,65000,1
5,1,25,35,12,70000,3
5,2,75,85,29,65000,3
5,3,90,90,29,65000,1
5,4,54,30,29,65000,1
5,5,55,10,29,65000,1
5,6,56,10,29,65000,1
5,7,57,10,29,65000,1
6,1,61,50,12,70000,3
6,2,62,10,29,65000,3
6,3,63,100,29,65000,1
6,4,64,30,29,65000,1
6,5,65,10,29,65000,1
6,6,66,10,29,65000,1
6,7,67,50,29,65000,1
