@attribute coord_x spatial
@attribute coord_y spatial
@attribute value numeric
@attribute parametro numeric
@attribute vento numeric
@attribute popolazione numeric
@attribute categoria discrete {1,2,3}
@data
1,1,11,3,40,20000,2
1,2,12,20,38,100,3
1,3,13,-20,38,45,1
1,4,14,100,38,780,2
1,5,15,50,38,1555,1
1,6,16,21,38,10000,2
1,7,17,-8,38,1,1
2,1,21,-500,38,10000,3
2,2,22,-900,38,10000,3
2,3,23,61,38,10000,2
2,4,24,1,38,10000,1
2,5,25,99,38,10000,2
2,6,26,220,38,10000,1
2,7,27,-58,38,10000,2
3,1,31,-12,12,70000,3
3,2,32,88,29,8000,3
3,3,33,-2,29,80000,1
3,4,34,1,29,65000,1
3,5,35,-321,29,65000,1
3,6,36,3,29,65000,1
3,7,37,3,29,65000,1
4,1,41,55,12,70000,3
4,2,42,66,29,65000,3
4,3,43,77,29,65000,1
4,4,44,88,29,65000,1
4,5,45,-21,29,65000,1
4,6,46,-33,29,65000,1
4,7,47,3,29,65000,1
5,1,51,47,12,70000,3
5,2,52,6,29,65000,3
5,3,53,-88,29,65000,1
5,4,54,621,29,65000,1
5,5,55,400,29,65000,1
5,6,56,21,29,65000,1
5,7,57,-10,29,65000,1
6,1,61,-20,12,70000,3
6,2,62,-20,29,65000,3
6,3,63,30,29,65000,1
6,4,64,-850,29,65000,1
6,5,65,27,29,65000,1
6,6,66,90,29,65000,1
6,7,67,7,29,65000,1
