@attribute coord_x spatial
@attribute coord_y spatial
@attribute value numeric
@attribute parametro numeric
@attribute vento numeric
@attribute popolazione numeric
@attribute categoria discrete {1,2,3}
@data
1,1,11,3,40,20000,2
1,2,12,4,38,100,3
1,3,13,5,38,45,1
1,4,14,3,38,780,2
1,5,15,3,38,1555,1
1,6,16,4,38,10000,2
1,7,17,3,38,1,1
2,1,21,3,38,10000,3
2,2,22,3,38,10000,3
2,3,23,4,38,10000,2
2,4,24,2,38,10000,1
2,5,25,1,38,10000,2
2,6,26,4,38,10000,1
2,7,27,3,38,10000,2
3,1,31,3,12,70000,3
3,2,32,3,29,8000,3
3,3,33,3,29,80000,1
3,4,34,3,29,65000,1
3,5,35,3,29,65000,1
3,6,36,3,29,65000,1
3,7,37,3,29,65000,1
4,1,41,5,12,70000,3
4,2,42,2,29,65000,3
4,3,43,3,29,65000,1
4,4,44,1,29,65000,1
4,5,45,3,29,65000,1
4,6,46,3,29,65000,1
4,7,47,3,29,65000,1
5,1,51,3,12,70000,3
5,2,52,3,29,65000,3
5,3,53,3,29,65000,1
5,4,54,3,29,65000,1
5,5,55,3,29,65000,1
5,6,56,3,29,65000,1
5,7,57,3,29,65000,1
6,1,61,3,12,70000,3
6,2,62,3,29,65000,3
6,3,63,3,29,65000,1
6,4,64,3,29,65000,1
6,5,65,3,29,65000,1
6,6,66,3,29,65000,1
6,7,67,3,29,65000,1
