@relation indianpine

@attribute coord_x numeric
@attribute coord_y numeric
@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric

@data
1,1,5.217365,-4.981295,0.970339,0.586266,0.74806,0.857551,-0.598928,0.885274,0.567386
1,2,4.329529,-6.338157,1.027935,-0.082386,0.080923,1.162356,0.748431,0.214195,0.088436
1,3,3.886399,-9.176476,1.416833,0.350276,-0.071395,1.597543,0.295871,0.664908,1.680909
1,4,3.98187,-10.69537,1.555891,0.374258,-0.29136,1.724803,-0.320382,0.041742,0.46915
1,5,6.180434,-5.259629,1.429626,0.846922,0.327119,1.02897,0.318914,0.957692,2.226441
1,6,6.317438,-3.288056,0.984017,1.270367,0.98318,0.488805,1.456379,1.231301,0.521342
2,1,7.905617,1.159774,-0.481495,1.533801,1.340173,0.256861,1.253808,-0.107908,0.779321
2,2,6.746433,-0.748112,0.362423,0.7151,1.409206,0.384723,0.849506,1.352965,0.002794
2,3,6.080239,-2.413078,0.670536,0.710041,1.309001,0.166822,1.296604,0.982667,-0.240244
2,4,5.534062,-4.090787,0.855192,0.545167,0.74818,1.033878,1.203746,0.888627,0.025833
2,5,7.094051,-1.031492,1.000078,1.715703,1.517331,-0.046873,-1.712147,1.711726,-0.258997
2,6,7.420234,0.368077,0.267617,1.479157,1.468041,0.070284,1.258837,0.718026,0.137841
2,74,-21.433705,7.398062,0.235558,0.800318,1.493853,1.900249,-0.093102,1.577941,0.579475
2,75,-20.663134,4.634371,0.616557,0.510823,1.142762,1.925134,0.717305,1.049007,1.537717
2,76,-20.607809,2.784462,1.032692,0.780023,0.551718,1.790127,0.967024,0.351305,0.37228
2,77,-21.214377,4.037637,1.139293,0.744488,0.641351,1.136027,-0.197595,0.254487,0.027847
2,78,-20.674587,4.744638,0.784841,1.03305,0.974952,1.778945,0.92534,1.222285,1.374746
2,79,-21.779697,8.397519,-1.094094,-0.320873,1.403006,2.390328,-0.322719,0.022548,-0.73698
2,80,-21.019156,10.032628,-2.003328,1.256111,0.230113,2.455687,0.41161,-0.389299,1.915242
2,81,-22.136187,10.088519,-2.027067,1.391076,0.404303,2.690972,-0.357017,-0.452763,0.156741
2,82,-21.521909,9.023162,-1.538495,0.757788,1.17842,1.553872,0.263758,-0.674584,-0.780664
2,83,-20.62158,8.239715,-1.409602,1.171904,1.096181,1.693933,0.602653,-0.11782,0.702239
2,84,-20.479305,5.73108,0.197402,0.189207,1.332751,1.184361,-0.42572,1.202336,-0.210843
2,85,-19.113859,-0.252884,1.228376,0.585675,-0.006129,0.282487,0.141072,-0.014542,0.232135
2,86,-19.251999,0.408566,0.576251,0.338087,0.366617,0.120269,-0.012706,0.37544,-0.027522
2,87,-19.783443,3.438541,0.313819,-0.210023,0.744753,-0.021267,-0.216549,0.760448,0.182651
2,88,-19.354437,2.371269,0.17129,-0.225179,0.590642,0.225965,1.205233,0.678422,0.358784
3,1,8.840644,3.035921,-1.122038,2.603012,1.380585,0.097064,-1.398523,-0.355086,-0.429364
3,2,7.622732,1.470342,-1.285103,1.812752,0.972285,0.253614,0.679503,-1.021117,0.265019
3,3,7.505008,0.152283,0.438547,0.690132,1.383523,0.142359,0.903081,1.20842,-0.495777
3,4,6.764726,-1.589804,0.619376,0.723606,1.263979,0.192781,1.338261,0.954817,-0.432762
3,5,6.985468,-1.201228,1.007622,1.361526,1.271617,0.444544,0.8708,1.511838,0.683282
3,6,7.780208,0.731635,0.179973,1.194216,1.21326,-0.48295,1.590366,0.596167,-0.308876
3,7,7.925867,-0.031128,0.802712,1.42041,1.390028,-0.162866,-1.354343,1.39444,-0.855761
3,74,-21.148136,5.560265,0.295828,0.572624,1.303324,1.559134,-0.060447,1.302831,-0.030217
3,75,-20.976117,4.564327,0.715278,0.698917,1.017478,1.811505,0.984771,0.824344,0.569489
3,76,-20.558379,2.494636,1.151277,0.697218,0.447949,0.599547,1.548154,-0.103804,-0.979685
3,77,-21.758058,3.897667,0.5524,0.894519,0.914744,2.10592,-0.24541,0.858766,-0.886059
3,78,-20.552741,3.988129,0.917239,1.011544,0.96648,1.320377,-0.380357,0.75138,-0.243939
3,79,-21.444034,8.026659,-1.080866,1.325543,1.119832,2.037453,-0.812059,-0.430485,-0.555729
3,80,-20.974092,10.353144,-1.449909,1.206237,1.433405,2.225206,-0.601795,0.052654,0.780257
3,81,-21.832759,10.287732,-1.517423,1.156709,1.467441,2.551957,0.643135,0.096945,0.999919
3,82,-21.995841,10.627731,-2.024434,0.982793,0.166705,1.689491,-0.122295,-1.174957,-0.053165
3,83,-21.021568,10.196896,-1.535791,1.283869,1.3658,1.691414,-0.929384,0.244996,0.931075
3,84,-21.014575,9.128328,-1.675335,0.849161,1.249217,1.649106,-0.332646,-0.003694,0.330163
3,85,-19.948524,5.233836,0.485099,0.595736,1.173153,1.356331,-0.707333,1.417926,1.619028
3,86,-19.878773,2.90152,0.554626,0.288515,0.556027,0.892451,0.306345,0.573208,0.25024
3,87,-20.214978,5.265632,-0.235621,-0.225115,1.067507,-0.136314,-0.291626,0.871043,-0.443942
3,88,-20.115186,4.791463,-1.047381,0.17737,1.237693,1.496233,0.649193,0.639772,0.324867
4,1,8.118026,1.796622,-0.503747,1.794608,1.391584,0.047011,1.129164,-0.001302,-0.896524
4,2,8.210904,1.182442,-0.317556,1.824466,1.081187,-0.324726,-1.531775,0.038607,-0.223599
4,3,7.010459,-1.708477,0.819705,1.000919,1.173143,0.339105,1.243068,1.184663,0.306889
4,4,5.461786,-3.56552,0.795952,0.93033,0.904993,0.883934,-0.174144,1.153934,-0.856852
4,5,5.964222,-3.393829,1.086636,0.709183,0.749685,0.66787,1.067325,1.009735,0.474608
4,6,7.529247,-0.671527,0.642697,0.961003,1.438768,-0.026794,0.917861,1.355088,0.059672
4,7,7.786084,-0.511197,0.490609,0.666535,1.510492,0.234323,1.296526,1.26321,0.223849
4,8,6.726721,-1.189465,0.659745,1.135022,1.398097,0.169864,1.249393,0.910187,-1.745002
4,33,2.032088,-0.127963,-0.859045,-1.011891,1.231386,0.150077,-0.477871,0.515503,0.075222
4,34,4.041254,3.305289,-2.434271,0.510974,-1.387747,0.79083,0.349889,-0.530708,0.610646
4,35,5.09451,4.526773,-2.149176,0.612651,-2.798371,0.333517,-0.453451,0.030749,-0.071239
4,36,6.523873,6.697594,1.466353,-1.088126,-3.11703,1.102309,1.520171,1.985397,-0.758311
4,37,7.233142,7.761223,2.482639,-1.161328,-3.248601,0.942596,0.967021,2.164824,0.366151
4,38,6.807264,6.893256,2.261668,-1.997751,-3.336456,1.558084,1.364625,1.580477,-0.824803
4,39,5.40007,3.931148,-1.772137,0.866185,-2.901299,0.894202,-0.708832,0.303331,0.498785
4,40,-0.32243,-2.795505,-0.133741,-0.595886,0.95046,0.052776,0.62047,0.524683,-0.319758
4,52,9.692121,4.57982,-1.726606,2.873233,0.44516,0.469575,1.407164,-0.91742,-0.624021
4,53,8.699588,4.892468,-1.227044,2.889098,-1.146204,0.635954,1.498105,-0.449127,-0.322777
4,54,10.040035,6.27937,-0.602008,3.469924,-2.465535,0.701165,1.505869,0.372993,0.918819
4,55,9.201161,5.680985,-1.354788,3.335634,-0.96821,0.896928,1.086801,-0.329548,-0.052718
4,56,9.085562,4.562003,-1.439889,3.367024,0.366127,0.207306,1.375824,-0.73546,-0.125083
4,57,4.318355,-1.736574,1.057485,1.451082,1.254646,0.093466,1.232969,0.92845,-1.013493
4,58,5.009602,-4.967903,1.245127,1.176624,0.652661,0.88485,-0.1175,0.68907,-1.462209
4,60,3.978709,-1.785869,0.019667,0.571864,1.262126,0.295312,1.136282,1.043231,-1.331906
