@relation inputFile

@attribute coord_x numeric
@attribute coord_y numeric
@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric

@data
1,1,-2.354428,0.098932,0.41174
1,2,-2.590529,0.029754,0.117733
1,3,-2.550682,0.053332,0.078198
1,4,-2.490673,0.080891,0.054315
1,5,-2.327952,0.280934,0.123862
1,6,-2.131191,0.245662,0.198063
1,7,-2.294084,0.305613,0.008009
2,1,-2.110074,0.05129,-0.162811
2,2,-2.077581,0.060309,-0.209234
2,3,-2.045224,0.069097,-0.255781
2,4,-2.013139,0.077425,-0.302575
2,5,-1.842425,0.320613,-0.223085
2,6,-1.81034,0.328941,-0.269879
2,7,-1.778255,0.337269,-0.316673
3,1,0.930774,-2.532199,0.714217
3,2,-1.25915,-0.66191,-0.537802
3,3,0.176916,-1.025302,0.446982
3,4,-0.083495,-0.939532,0.185276
3,5,0.814342,0.535518,0.92714
3,6,0.846427,0.543846,0.880346
3,7,0.878512,0.552174,0.833552
4,1,1.251625,-2.44892,0.246275
4,2,0.173186,-0.872909,-0.189078
4,3,0.205271,-0.864582,-0.235872
4,4,0.237356,-0.856254,-0.282666
4,5,1.135194,0.618797,0.459199
4,6,1.167279,0.627124,0.412404
4,7,1.199364,0.635452,0.36561
5,1,1.575195,-2.361037,-0.219191
5,2,1.395127,0.736958,0.163829
5,3,1.391875,0.685419,0.084845
5,4,1.42396,0.693747,0.038051
5,5,1.456045,0.702075,-0.008743
5,6,1.48813,0.710403,-0.055538
5,7,1.520215,0.718731,-0.102332
6,1,1.891969,-2.284666,-0.690847
6,2,1.715978,0.820236,-0.304113
6,3,1.712726,0.768698,-0.383097
6,4,1.744811,0.777026,-0.429891
6,5,1.776897,0.785353,-0.476685
6,6,1.808982,0.793681,-0.52348
6,7,1.841067,0.802009,-0.570274
